id,gis_gemeinde_id
136,2378
137,2478
138,2373
139,2410
140,2375
141,2374
142,2432
143,2379
144,2380
145,2384
146,2382
147,2383
148,2385
149,2438
150,2398
151,2431
152,2419
153,2376
154,2590
155,2486
157,2404
158,2388
159,2406
162,2407
163,2408
164,2399
165,2479
166,2377
167,2449
168,2450
169,2387
170,2395
171,2390
172,2391
173,2393
174,2394
175,2386
176,2396
177,2397
178,2414
179,2411
180,2413
181,2409
182,2415
184,2412
186,2416
187,2596
189,2418
190,2417
191,2420
192,2421
193,2423
194,2422
195,2425
196,2426
197,2446
198,2459
199,2427
200,2428
201,2429
202,2401
203,2483
204,2476
205,2598
206,2434
207,2435
208,2402
209,2475
210,2477
211,2600
212,2436
214,2439
215,2381
216,2440
217,2441
218,2443
219,2442
220,2445
221,2444
222,2447
225,2448
227,2389
228,2457
229,2458
231,2463
232,2464
233,2461
234,2593
235,2462
236,2456
237,2451
238,2452
239,2454
240,2453
241,2455
242,2433
243,2485
244,2465
246,2473
247,2466
248,2467
249,2470
250,2471
252,2469
253,2400
254,2468
255,2472
256,2392
257,2474
258,2488
259,2481
260,2484
261,2405
262,2480
263,2597
264,2403
265,2482
267,2437
268,2424
269,2430
270,2487
271,2460
272,2599
799,1533
800,446
801,192
802,1523
803,196
804,293
805,869
806,292
807,100
808,1527
809,564
810,1560
811,359
812,336
813,337
814,1918
815,1064
816,130
817,517
818,679
819,687
820,1828
821,2250
822,1256
823,89
824,674
825,1601
826,633
827,1620
828,988
829,1830
830,279
831,1255
832,1260
833,463
834,465
835,284
836,1294
837,1370
838,1629
839,575
840,1299
841,1484
842,1073
843,1627
844,11
845,1787
846,2098
847,1483
848,1017
849,2083
850,2090
851,1249
852,535
853,1749
854,1062
855,2106
856,1455
857,1773
858,2120
859,1628
860,491
861,721
862,433
863,520
864,2240
865,1366
866,577
867,379
868,1163
869,1381
870,1870
871,2100
872,1925
873,1817
874,1051
875,1636
876,2365
877,132
878,1766
879,2369
880,106
881,1034
882,166
883,919
884,2117
885,1965
886,1843
887,1046
888,1003
889,1570
890,136
891,448
892,1427
893,1154
894,1917
895,338
896,410
897,1209
898,732
899,572
900,1432
901,1102
902,493
903,406
904,2241
905,1559
906,1039
907,657
908,200
909,323
910,802
911,54
912,985
913,1589
914,2156
915,510
916,1894
917,512
918,2102
919,1927
920,99
921,1740
922,501
923,1386
924,2209
925,1685
926,382
927,963
928,275
929,791
930,322
931,1213
932,1026
933,1025
934,1551
935,970
936,539
937,2258
938,70
939,458
940,1202
941,1093
942,1755
943,241
944,1738
945,1223
946,1900
947,1549
948,1989
949,901
950,1823
951,776
952,80
953,2141
954,706
955,36
956,1339
957,578
958,1691
959,1445
960,954
961,956
962,209
963,2247
964,1974
965,1265
966,973
967,525
968,1893
969,1961
970,309
971,803
972,1272
973,799
974,1238
975,1742
976,117
977,1030
978,1948
979,825
980,35
981,60
982,1572
983,1329
984,1677
985,714
986,1663
987,1676
988,560
989,2026
990,1097
991,2179
992,1087
993,214
994,1477
995,1945
996,1847
997,1244
998,867
999,1908
1000,227
1001,1720
1002,389
1003,267
1004,1468
1005,135
1006,1625
1007,1631
1008,53
1009,34
1010,2330
1011,1640
1012,991
1013,2351
1014,1906
1015,571
1016,653
1017,305
1018,2176
1019,266
1020,580
1021,2272
1022,1317
1023,968
1024,1413
1025,206
1026,2119
1027,261
1028,1831
1029,969
1030,1031
1031,125
1032,1059
1033,2204
1034,1020
1035,33
1036,749
1037,2184
1038,625
1039,43
1040,1304
1041,696
1042,2183
1043,1268
1044,1819
1045,2192
1046,1543
1047,1430
1048,897
1049,1985
1050,1835
1051,1886
1052,1398
1053,2062
1054,340
1055,2299
1056,2303
1057,1607
1058,1437
1059,1217
1060,211
1061,524
1062,1604
1063,1586
1064,1325
1065,118
1066,1563
1067,836
1068,2225
1069,1981
1070,720
1071,1598
1072,621
1073,1343
1074,2003
1075,862
1076,12
1077,1352
1078,378
1079,1361
1080,2190
1081,778
1082,1482
1083,558
1084,1480
1085,1078
1086,608
1087,781
1088,1558
1089,683
1090,682
1091,1108
1092,1866
1093,144
1094,2185
1095,534
1096,1834
1097,936
1098,126
1099,1578
1100,1975
1101,2028
1102,1957
1103,2014
1104,1806
1105,1349
1106,995
1107,1008
1108,1215
1109,1306
1110,1079
1111,1043
1112,150
1113,1377
1114,902
1115,1681
1116,2357
1117,1664
1118,2068
1119,1928
1120,1987
1121,386
1122,2016
1123,935
1124,2226
1125,2288
1126,1859
1127,796
1128,1385
1129,81
1130,1689
1131,55
1132,346
1133,1634
1134,1678
1135,593
1136,1723
1137,618
1138,1384
1139,1952
1140,950
1141,529
1142,924
1143,739
1144,1014
1145,1441
1146,1023
1147,741
1148,224
1149,838
1150,2146
1151,1643
1152,974
1153,399
1154,1579
1155,471
1156,456
1157,1478
1158,1442
1159,527
1160,2093
1161,672
1162,2236
1163,1144
1164,733
1165,1650
1166,1493
1167,1065
1168,239
1169,1583
1170,727
1171,1252
1172,1864
1173,1846
1174,1047
1175,2126
1176,1241
1177,768
1178,503
1179,1225
1180,1782
1181,877
1182,1080
1183,1282
1184,1652
1185,1862
1186,1246
1187,1968
1188,23
1189,360
1190,660
1191,314
1192,1239
1193,1661
1194,1104
1195,2229
1196,1810
1197,918
1198,2224
1199,1976
1200,2127
1201,208
1202,351
1203,854
1204,1693
1205,2265
1206,2128
1207,1665
1208,751
1209,1187
1210,650
1211,1403
1212,1331
1213,1189
1214,1466
1215,1191
1216,1212
1217,1926
1218,691
1219,2329
1220,1593
1221,2006
1222,2349
1223,170
1224,980
1225,1242
1226,2182
1227,619
1228,310
1229,2234
1230,2133
1231,2354
1232,870
1233,871
1234,313
1235,763
1236,1089
1237,164
1238,1546
1239,367
1240,38
1241,2308
1242,1915
1243,3
1244,1798
1245,2091
1246,364
1247,2296
1248,1840
1249,2337
1250,927
1251,1418
1252,594
1253,187
1254,658
1255,1942
1256,914
1257,2322
1258,2069
1259,537
1260,2362
1261,2051
1262,131
1263,930
1264,2242
1265,1444
1266,1376
1267,925
1268,1557
1269,1454
1270,1096
1271,145
1272,983
1273,2057
1274,2043
1275,1293
1276,824
1277,1719
1278,787
1279,1205
1280,583
1281,1616
1282,1949
1283,172
1284,419
1285,1219
1286,1827
1287,1932
1288,1980
1289,1991
1290,2233
1291,1100
1292,1867
1293,635
1294,856
1295,1909
1296,400
1297,750
1298,998
1299,1580
1300,356
1301,1998
1302,1836
1303,769
1304,1637
1305,606
1306,212
1307,1783
1308,1302
1309,788
1310,179
1311,898
1312,1218
1313,1382
1314,645
1315,607
1316,2036
1317,2343
1318,2304
1319,2259
1320,2022
1321,640
1322,1107
1323,21
1324,1498
1325,1157
1326,1350
1327,225
1328,513
1329,1085
1330,1101
1331,174
1332,1397
1333,1585
1334,2274
1335,797
1336,1954
1337,1571
1338,2161
1339,220
1340,563
1341,509
1342,731
1343,1061
1344,1796
1345,1280
1346,1569
1347,109
1348,1552
1349,133
1350,2115
1351,2032
1352,1946
1353,2341
1354,1348
1355,1286
1356,1966
1357,409
1358,2352
1359,2053
1360,105
1361,2165
1362,632
1363,1400
1364,1839
1365,2024
1366,1712
1367,1776
1368,16
1369,859
1370,1670
1371,861
1372,2248
1373,879
1374,1263
1375,1889
1376,987
1377,2039
1378,2078
1379,155
1380,154
1381,347
1382,329
1383,953
1384,1851
1385,1024
1386,553
1387,349
1388,2111
1389,1475
1390,28
1391,610
1392,1802
1393,1167
1394,1172
1395,981
1396,2142
1397,2181
1398,2088
1399,1706
1400,468
1401,1075
1402,2059
1403,753
1404,464
1405,411
1406,668
1407,1841
1408,1203
1409,1715
1410,2080
1411,586
1412,2269
1413,1368
1414,160
1415,1041
1416,1726
1417,1136
1418,1452
1419,673
1420,432
1421,979
1422,2096
1423,601
1424,1086
1425,984
1426,1763
1427,454
1428,1210
1429,421
1430,247
1431,1944
1432,848
1433,1972
1434,365
1435,1905
1436,1595
1437,893
1438,2099
1439,755
1440,177
1441,605
1442,2081
1443,29
1444,41
1445,748
1446,1353
1447,1287
1448,1791
1449,810
1450,1577
1451,928
1452,857
1453,262
1454,2198
1455,2199
1456,381
1457,993
1458,1690
1459,725
1460,1743
1461,1105
1462,2243
1463,1708
1464,1904
1465,1387
1466,416
1467,393
1468,2095
1469,1574
1470,237
1471,1300
1472,860
1473,1416
1474,285
1475,828
1476,1735
1477,1162
1478,1953
1479,2038
1480,1680
1481,1289
1482,1016
1483,413
1484,45
1485,1970
1486,1146
1487,944
1488,1164
1489,1587
1490,1094
1491,1777
1492,1736
1493,820
1494,14
1495,1848
1496,694
1497,1694
1498,1496
1499,604
1500,1009
1501,256
1502,476
1503,1033
1504,2205
1505,1160
1506,1899
1507,2370
1508,455
1509,2277
1510,1206
1511,1644
1512,1567
1513,641
1514,1313
1515,242
1516,176
1517,2268
1518,1937
1519,1682
1520,210
1521,1410
1522,1799
1523,1756
1524,2178
1525,1106
1526,2231
1527,1173
1528,1566
1529,2220
1530,1464
1531,1943
1532,1159
1533,1554
1534,2301
1535,1248
1536,1277
1537,146
1538,1181
1539,219
1540,2034
1541,626
1542,1327
1543,287
1544,1684
1545,1419
1546,327
1547,947
1548,1762
1549,1341
1550,94
1551,19
1552,467
1553,852
1554,394
1555,1494
1556,616
1557,1497
1558,1590
1559,1951
1560,2252
1561,1688
1562,1669
1563,66
1564,817
1565,1733
1566,940
1567,1797
1568,301
1569,2294
1570,122
1571,1271
1572,26
1573,603
1574,341
1575,812
1576,1122
1577,1910
1578,1365
1579,120
1580,376
1581,1229
1582,254
1583,617
1584,1659
1585,1646
1586,2289
1587,1914
1588,1112
1589,853
1590,734
1591,2368
1592,1774
1593,1697
1594,2336
1595,2342
1596,905
1597,1902
1598,2193
